GWAS	cutoff	selection_metrics	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Enrichment.Lower.SE	Enrichment.Upper.SE	Log_P	Coefficient.Lower.SE	Coefficient.Upper.SE	Z_score_P	Z_score_logP
AD2019	Top 0.5%	CLR	0.00365113562648	-5.04817995284e-4	0.00215479787028	-0.138263282148	0.590171960377	0.05197343032060947	-1.11491295829e-9	1.59443153691e-9	-0.699254205956	-0.728435242525	0.45190867822900005	1.284218618175268	-2.7093444952e-9	4.7951857862e-10	0.4843931802464134	0.3148019799018175
AD2019	Top 0.5%	CMS	0.00434177313506	0.00282778964456	0.00772570017459	0.651298342082	1.77938826702	0.8451048302977912	-1.2535256394e-9	4.84249720481e-9	-0.25885934186	-1.128089924938	2.430686609102	0.07308941602538706	-6.09602284421e-9	3.58897156541e-9	0.7957437696389829	0.09922675304877858
AD2019	Top 0.5%	IHS	0.00566886405815	-0.00741826279294	0.0189325519459	-1.3085977573	3.33974350976	0.4906672672417915	-5.67124935075e-9	9.18003810157e-9	-0.617780589579	-4.64834126706	2.0311457524599996	0.3092129131428365	-1.4851287452319998e-8	3.5087887508199997e-9	0.5367199801472967	0.27025223719627944
AD2019	Top 0.5%	LA	0.00551050559128	0.00355211893848	0.00423250099673	0.644608535396	0.768078523217	0.6492401477698145	-1.67118517191e-9	2.23036828395e-9	-0.749286646488	-0.12346998782099994	1.412687058613	0.18759463207473825	-3.90155345586e-9	5.591831120399998e-10	0.45368445455801143	0.34324610152600293
AD2019	Top 0.5%	XPEHH	0.00451170653224	-0.00504754220404	0.00629414350435	-1.11876563069	1.39506935112	0.13110135885259777	-4.21317318709e-9	4.0553678057e-9	-1.0389127174	-2.51383498181	0.27630372043000007	0.8823928068673029	-8.268540992790001e-9	-1.5780538139000008e-10	0.2988453312549916	0.5245535245919953
AD2019	Top 1%	CLR	0.00799609606119	-0.00229968889921	0.00282474344873	-0.287601459714	0.353265321866	2.6276465990583e-4	-1.48052839863e-9	9.08612360895e-10	-1.62943898009	-0.64086678158	0.06566386215200004	3.58043304489591	-2.389140759525e-9	-5.719160377350001e-10	0.10322012257320023	0.986235629543989
AD2019	Top 1%	CMS	0.00866542898789	0.00853701405276	0.0105391125451	0.985180775781	1.21622513552	0.9902860093891191	-3.70572935372e-10	3.30349002936e-9	-0.11217619308	-0.23104435973899995	2.2014059113010003	0.004239356553403321	-3.674062964732e-9	2.932917093988e-9	0.9106837051816843	0.04063243416423566
AD2019	Top 1%	IHS	0.0113685945971	-0.0212840979099	0.0243515154304	-1.87218373635	2.14199875124	0.1854126626238812	-7.29321027458e-9	5.90121810634e-9	-1.23588217604	-4.01418248759	0.26981501489000004	0.7318606093507012	-1.319442838092e-8	-1.3919921682400002e-9	0.21650236328487477	0.6645373586363501
AD2019	Top 1%	LA	0.0111318956599	0.0064942878116900004	0.00684249483682	0.583394599636	0.614674719013	0.500547330686165	-1.49555633e-9	1.76865901165e-9	-0.84558771371	-0.031280119376999926	1.198069318649	0.3005548502846515	-3.26421534165e-9	2.731026816500001e-10	0.39778278192556815	0.400354019292401
AD2019	Top 1%	XPEHH	0.0091354718101	-0.00698254583635	0.0104115983706	-0.764333356995	1.13968917939	0.1218400055096108	-3.57689877979e-9	3.40028042235e-9	-1.05194229166	-1.9040225363849999	0.37535582239499987	0.9142100900331964	-6.97717920214e-9	-1.7661835743999997e-10	0.29282602695557475	0.5333903249468447
AD2019	Top 2%	CLR	0.0158392017391	-0.00735995181753	0.00485251854032	-0.464666839829	0.306361306601	3.82613149869517e-7	-2.12125136724e-9	7.0783657823e-10	-2.99680947903	-0.77102814643	-0.15830553322799995	6.417240107968865	-2.82908794547e-9	-1.4134147890099997e-9	0.0027282115993607116	2.5641219489455778
AD2019	Top 2%	CMS	0.0170143087946	0.0115885684388	0.0142802161307	0.681107212677	0.839306274679	0.7046354208902827	-1.24476254202e-9	2.31367042723e-9	-0.538003393817	-0.15819906200199996	1.520413487356	0.15203552932033743	-3.55843296925e-9	1.06890788521e-9	0.5905747055713112	0.22872515788914025
AD2019	Top 2%	IHS	0.0224921026264	-0.01642669564	0.0281163120096	-0.730331704106	1.25005262855	0.17631064882855182	-4.17124086748e-9	3.46760392851e-9	-1.2029173324	-1.980384332656	0.519720924444	0.7537214563460914	-7.63884479599e-9	-7.036369389700004e-10	0.2290083124154345	0.6401487535961986
AD2019	Top 2%	LA	0.0226034903615	0.0124601720723	0.01051525278	0.551249911982	0.465204825088	0.3310012354905135	-1.50216536122e-9	1.33694403452e-9	-1.12358133357	0.08604508689400003	1.0164547370700001	0.4801703851798369	-2.83910939574e-9	-1.6522132670000007e-10	0.2611906786256142	0.5830423262242804
AD2019	Top 2%	XPEHH	0.0185626654146	-0.0139473346901	0.0160274344277	-0.751364870216	0.863423116767	0.0409611913667126	-3.96891093314e-9	2.56578684077e-9	-1.54685918178	-1.614787986983	0.11205824655100005	1.3876274202825987	-6.5346977739100004e-9	-1.4031240923699997e-9	0.1218972056325106	0.914006250019772
ALS2021.EUR	Top 0.5%	CLR	0.00365113562648	-0.00490787906877	0.0022770713991	-1.3442061788	0.623661137809	4.366558585887141e-5	-1.74282791656e-8	6.12944552773e-9	-2.84336961422	-1.967867316609	-0.7205450409909999	4.359860708560171	-2.355772469333e-8	-1.1298833637869998e-8	0.004463926972203068	2.3502829188708043
ALS2021.EUR	Top 0.5%	CMS	0.00434177313506	0.00188977712363	0.00787181289508	0.435254690847	1.81304104342	0.7557891740824969	-1.169282982e-8	1.932076661e-8	-0.605194920889	-1.3777863525729999	2.248295734267	0.12159933320480223	-3.101359643e-8	7.627936790000002e-9	0.5450494902137881	0.26356406221705414
ALS2021.EUR	Top 0.5%	IHS	0.00566886405815	0.0675052645478	0.0262023003402	11.9080760899	4.6221430028	0.0105549222030537	1.17928895427e-7	4.52085165753e-8	2.6085548556	7.2859330871	16.5302190927	1.9765449633898635	7.272037885169999e-8	1.631374120023e-7	0.009092543698302489	2.0413146030710467
ALS2021.EUR	Top 0.5%	LA	0.00551050559128	0.00696871813282	0.00860104499114	1.26462409254	1.56084498031	0.8669999925587208	4.60681031916e-9	1.67809648284e-8	0.27452595046	-0.2962208877699999	2.82546907285	0.06198090625124816	-1.2174154509240001e-8	2.138777514756e-8	0.7836804637861234	0.10586097953759893
ALS2021.EUR	Top 0.5%	XPEHH	0.00451170653224	0.0228491709541	0.0119358572806	5.06441870517	2.64553050943	0.1208179027349483	5.07757278841e-8	2.9438176856e-8	1.72482583186	2.4188881957399997	7.7099492146	0.917868707412582	2.1337551028100002e-8	8.02139047401e-8	0.0845588649691196	1.07284085518214
ALS2021.EUR	Top 1%	CLR	0.00799609606119	-0.00635861356138	0.00375204387649	-0.79521475389	0.469234467393	8.214287404486525e-6	-1.11453850315e-8	4.65372964999e-9	-2.39493607702	-1.2644492212829999	-0.32598028649699995	5.08543010596265	-1.579911468149e-8	-6.491655381510001e-9	0.01662326307265433	1.7792837221072553
ALS2021.EUR	Top 1%	CMS	0.00866542898789	0.00735232765088	0.0128325888609	0.848466666932	1.48089481535	0.9186226203703584	-5.99226165586e-9	1.59723912979e-8	-0.375163714944	-0.6324281484179999	2.3293614822819997	0.036862864621261836	-2.196465295376e-8	9.980129642040001e-9	0.7075387139207856	0.15024979215394466
ALS2021.EUR	Top 1%	IHS	0.0113685945971	0.0769877554691	0.0311107611213	6.77196770554	2.73655295345	0.02315024236999821	6.20945164504e-8	2.69275097403e-8	2.30598807871	4.03541475209	9.50852065899	1.635444457803618	3.5167006710099995e-8	8.90220261907e-8	0.021111298466105856	1.6754850542658963
ALS2021.EUR	Top 1%	LA	0.0111318956599	0.012737240389	0.0105445475329	1.14421126268	0.947237366844	0.8801522923480811	2.81826286657e-9	1.0261355936e-8	0.274648193099	0.1969738958360001	2.091448629524	0.05544217557254231	-7.443093069429999e-9	1.307961880257e-8	0.7835865368193896	0.10591303443748197
ALS2021.EUR	Top 1%	XPEHH	0.0091354718101	0.0374764413795	0.0169600475779	4.1022994935	1.85650483417	0.08820853672262711	3.96885431252e-8	2.11271022446e-8	1.87856065947	2.2457946593300004	5.95880432767	1.054489382304425	1.85614408806e-8	6.08156453698e-8	0.06030450709261754	1.2196502279543058
ALS2021.EUR	Top 2%	CLR	0.0158392017391	-0.00919671121886	0.00705478749554	-0.58062971672	0.44540044452599997	6.191709917328052e-5	-1.01067701998e-8	4.5299679244e-9	-2.23109089698	-1.0260301612459999	-0.135229272194	4.2081893986195436	-1.4636738124200001e-8	-5.576802275399999e-9	0.025675108615469577	1.5904877104960469
ALS2021.EUR	Top 2%	CMS	0.0170143087946	0.0158866014821	0.0199995113064	0.933720063143	1.17545247049	0.9550317618801165	-4.6572993829e-9	1.26447890221e-8	-0.36831768207	-0.24173240734699997	2.109172533633	0.01998218466767728	-1.7302088405e-8	7.987489639200001e-9	0.7126363694452132	0.14713201717121085
ALS2021.EUR	Top 2%	IHS	0.0224921026264	0.0812096147603	0.035533036312	3.6105835061	1.57980055944	0.07925896224962752	2.80446241936e-8	1.59501483137e-8	1.75826729896	2.0307829466599996	5.19038406554	1.1009516182522812	1.2094475879900001e-8	4.39947725073e-8	0.0787020390174739	1.10401401576589
ALS2021.EUR	Top 2%	LA	0.0226034903615	0.0179885442573	0.0141532971362	0.795830377061	0.626155381749	0.7468827484281764	-1.9489446406e-9	6.94539204337e-9	-0.280609737856	0.16967499531200003	1.42198575881	0.12674757182245283	-8.89433668397e-9	4.99644740277e-9	0.7790097462916927	0.10845710877901096
ALS2021.EUR	Top 2%	XPEHH	0.0185626654146	0.0557638400393	0.0215812822775	3.00408582464	1.16261764114	0.07779985875365669	2.88826239131e-8	1.41720647192e-8	2.03799689639	1.8414681835000002	4.16670346578	1.1090211914751333	1.4710559193899998e-8	4.30546886323e-8	0.04155024325606256	1.381426429293675
PD2019.meta5.ex23andMe	Top 0.5%	CLR	0.00365113562648	2.83149513671e-4	0.00272803987039	0.077551080715	0.747175714484	0.23268979416323707	-9.05719748124e-10	2.14666548724e-9	-0.421919369137	-0.6696246337689999	0.824726795199	0.6332226645679744	-3.0523852353640004e-9	1.2409457391160001e-9	0.6730838717638343	0.17193081575418506
PD2019.meta5.ex23andMe	Top 0.5%	CMS	0.00434177313506	0.00105471304044	0.00727029122102	0.242922190459	1.67449818193	0.6529371390070566	-2.80491224162e-9	4.82131184025e-9	-0.58177366131	-1.431575991471	1.917420372389	0.18512862806102337	-7.62622408187e-9	2.0163995986299995e-9	0.5607191473920716	0.25125461339546373
PD2019.meta5.ex23andMe	Top 0.5%	IHS	0.00566886405815	-0.015819062407	0.0235470726045	-2.79051715559	4.15375503152	0.34641655813309913	-1.12854646676e-8	1.1439937454e-8	-0.986497060229	-6.94427218711	1.3632378759300003	0.4604013576074294	-2.27254021216e-8	1.5447278640000038e-10	0.323889257130468	0.48960345657868165
PD2019.meta5.ex23andMe	Top 0.5%	LA	0.00551050559128	-0.0034563339711	0.00346798046263	-0.627226288741	0.62933979563	0.00974011041317592	-4.54302037444e-9	1.80363674477e-9	-2.51881116728	-1.2565660843709998	0.0021135068890000275	2.0114361199631463	-6.34665711921e-9	-2.7393836296700004e-9	0.011775178775091339	1.9290324905305922
PD2019.meta5.ex23andMe	Top 0.5%	XPEHH	0.00451170653224	-0.0114791459085	0.00722535136329	-2.54430243334	1.60146749609	0.01336249569313586	-1.09686278534e-8	4.19534696223e-9	-2.61447454815	-4.14576992943	-0.94283493725	1.8741124217605374	-1.516397481563e-8	-6.773280891170001e-9	0.00893648184587932	2.048833422550819
PD2019.meta5.ex23andMe	Top 1%	CLR	0.00799609606119	0.00222932693111	0.00339332996283	0.278801919593	0.424373336296	0.10550600322357193	-3.53836915763e-10	1.22853145732e-9	-0.28801616243	-0.145571416703	0.703175255889	0.9767228285871752	-1.582368373083e-9	8.74694541557e-10	0.7733343668170849	0.11163268943739571
PD2019.meta5.ex23andMe	Top 1%	CMS	0.00866542898789	0.00463747352943	0.00981363042167	0.535169526623	1.13250370355	0.6811862954238471	-1.95003974656e-9	3.25972714089e-9	-0.598221772031	-0.5973341769270001	1.667673230173	0.1667340980577499	-5.20976688745e-9	1.3096873943299998e-9	0.5496919659302799	0.2598806104558531
PD2019.meta5.ex23andMe	Top 1%	IHS	0.0113685945971	-0.0115931743094	0.0259534122571	-1.01975439535	2.28290419149	0.3646366944221727	-6.15026895169e-9	6.37836721396e-9	-0.964238769168	-3.30265858684	1.2631497961400002	0.4381396291994527	-1.252863616565e-8	2.280982622700005e-10	0.3349262313540786	0.4750508372729047
