GWAS	cutoff	selection_metrics	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Enrichment.Lower.SE	Enrichment.Upper.SE	Log_P	Coefficient.Lower.SE	Coefficient.Upper.SE	Z_score_P	Z_score_logP
AD2019	Top 1%	CLR	L2_0	0.00799609606119	-0.00229968889921	0.00282474344873	-0.287601459714	0.353265321866	2.6276465990583e-4	-1.48052839863e-9	9.08612360895e-10	-1.62943898009	-0.64086678158	0.06566386215200004	3.58043304489591	-2.389140759525e-9	-5.719160377350001e-10	0.10322012257320023	0.986235629543989
AD2019	Top 1%	CLR	baseL2_1	1	1	2.17675071528e-8	1	2.17675071528e-8	NA	-2.39450539116e-9	2.17354672327e-9	-1.10165811737	0.9999999782324929	1.0000000217675071	NA	-4.56805211443e-9	-2.2095866788999967e-10	0.270610331713157	0.5676556263623564
AD2019	Top 1%	CLR	Coding_UCSCL2_1	0.0142591398753	0.135879788303	0.0690861559274	9.52931169002	4.84504370751	0.07426621735437054	3.79158915864e-8	1.66575772734e-8	2.27619484899	4.68426798251	14.37435539753	1.1292086957014695	2.1258314312999997e-8	5.4573468859799996e-8	0.0228343500856543	1.6414113448290755
AD2019	Top 1%	CLR	Coding_UCSC.flanking.500L2_1	0.0493628839627	0.219715888993	0.0965008752541	4.45103428639	1.95492782243	0.07352171336257386	7.46185032424e-9	5.18060243209e-9	1.44034413411	2.4961064639599995	6.40596210882	1.133584380631182	2.2812478921499992e-9	1.264245275633e-8	0.14977006079224417	0.8245749939278405
AD2019	Top 1%	CLR	Conserved_LindbladTohL2_1	0.0246705380615	0.204468784732	0.198161809519	8.28797427209	8.03232621135	0.36032823356762766	4.87042272555e-8	3.57849948859e-8	1.36102373106	0.25564806074000046	16.32030048344	0.4433017073411293	1.29192323696e-8	8.44892221414e-8	0.17350619010141324	0.7606850264700498
AD2019	Top 1%	CLR	Conserved_LindbladToh.flanking.500L2_1	0.305531357241	0.401566762261	0.225626844303	1.31432258177	0.738473609845	0.670225207351274	-1.00781995587e-9	2.27811300342e-9	-0.44239243372	0.575848971925	2.052796191615	0.17377924226068237	-3.28593295929e-9	1.27029304755e-9	0.6582052532620446	0.18163865584046998
AD2019	Top 1%	CLR	CTCF_HoffmanL2_1	0.0238146642289	0.176702840735	0.144652672986	7.4199173684	6.07410088153	0.29142435317603577	1.9463254192e-8	1.69900404328e-8	1.14556844458	1.3458164868700004	13.49401824993	0.5354741587841451	2.4732137592000016e-9	3.64532946248e-8	0.2519737601286046	0.5986446831259873
AD2019	Top 1%	CLR	CTCF_Hoffman.flanking.500L2_1	0.0469797903394	-0.103112479251	0.168435594248	-2.19482629672	3.58527769133	0.37363013529247646	-1.16112250816e-8	9.62299760735e-9	-1.20661207198	-5.78010398805	1.39045139461	0.4275581028289187	-2.123422268895e-8	-1.9882274742500006e-9	0.22758157546617544	0.6428629004371702
AD2019	Top 1%	CLR	DGF_ENCODEL2_1	0.135362603145	0.290740865266	0.330956557943	2.14786697737	2.44496301234	0.6387574934235205	5.23142762557e-9	7.22073117665e-9	0.724501092422	-0.29709603497000003	4.59282998971	0.19466399201042595	-1.9893035510799997e-9	1.245215880222e-8	0.46875815674608046	0.3290511621463743
AD2019	Top 1%	CLR	DGF_ENCODE.flanking.500L2_1	0.402860920167	0.400064200557	0.349201113176	0.993057853294	0.866803146434	0.9936005139372632	-1.90019313122e-9	2.96475514834e-9	-0.640927508732	0.12625470685999995	1.859860999728	0.002788192529753744	-4.86494827956e-9	1.06456201712e-9	0.5215697822309209	0.2826875779174694
